start,IATA,PNRs
4/18/19,AUS,2948
4/18/19,HOU,4745
4/18/19,MSP,3133
4/18/19,PAR,5569
4/18/19,CLE,1598
4/18/19,RDU,2323
4/18/19,BNA,2785
4/18/19,TLS,1173
4/18/19,STL,2217
4/18/19,SIN,1412
4/18/19,PHL,4079
4/18/19,MEX,1826
4/18/19,YYZ,3330
4/18/19,SHA,3489
4/18/19,CLT,3512
4/18/19,SFO,5584
4/18/19,YUL,1389
4/18/19,CHI,8696
4/25/19,CLE,1932
4/25/19,SYD,2263
4/25/19,LAX,3863
4/25/19,MAD,690
4/25/19,ATL,6488
4/25/19,MIL,651
4/25/19,SFO,5379
4/25/19,SIN,1222
4/25/19,PIT,1813
4/25/19,STL,2062
4/25/19,BNA,2367
4/25/19,MSP,3130
4/25/19,CMH,1625
4/25/19,LAS,2988
4/25/19,MEX,1597
4/25/19,PAR,3208
4/25/19,CPH,1700
4/25/19,SHA,1454
4/25/19,MIA,1899
4/25/19,LON,9985
4/25/19,NYC,13326
4/25/19,FRA,1405
4/25/19,PHX,3451
4/25/19,CHI,9332
4/25/19,SEA,4880
4/25/19,AUS,2799
4/25/19,STO,1076
4/25/19,HOU,4524
4/25/19,RDU,2537
4/25/19,YYZ,3749
4/25/19,SNA,1840
4/25/19,TLS,546
4/25/19,EWR,6056
4/25/19,CLT,3776
4/25/19,SAN,2063
4/25/19,MUC,1555
4/25/19,IND,1994
4/25/19,AMS,1536
4/25/19,SJC,4327
4/25/19,PDX,1957
4/25/19,PEK,634
4/25/19,DTW,3435
4/25/19,SAT,2190
4/25/19,WAS,6734
4/25/19,YUL,1827
4/25/19,MCO,1929
4/25/19,DEN,3357
4/25/19,DFW,8275
4/25/19,PHL,4339
4/25/19,BOS,6769
5/2/19,PIT,2064
5/2/19,MAD,1821
5/2/19,BNA,2423
5/2/19,DFW,8225
5/2/19,MCO,3958
5/2/19,WAS,6658
5/2/19,LAX,3739
5/2/19,LAS,2076
5/2/19,CMH,1744
5/2/19,AUS,3182
5/2/19,STL,2301
5/2/19,PAR,3847
5/2/19,PHX,3528
5/2/19,TLS,660
5/2/19,LON,9970
5/2/19,MSP,3183
5/2/19,PHL,4444
5/2/19,RDU,2578
5/2/19,SNA,2157
5/2/19,STO,2283
5/2/19,NYC,13978
5/2/19,PEK,1337
5/2/19,AMS,2353
5/2/19,DTW,3378
5/2/19,YYZ,4188
5/2/19,PDX,2208
5/2/19,CLE,2459
5/2/19,DEN,3855
5/2/19,SEA,5076
5/2/19,MEX,3269
5/2/19,SFO,5552
5/2/19,SAT,2202
5/2/19,SIN,2221
5/2/19,MUC,3315
5/2/19,CLT,3746
5/2/19,HOU,5569
5/2/19,YUL,1847
5/2/19,SJC,4006
5/2/19,FRA,2428
5/2/19,CHI,10070
5/2/19,MIA,1782
